unique_id,level,role,horizon_index,target_col,method,MAE,MASE,RMSSE,approach
GC/2099,2,middle,0,y,base,0.22080535912751986,0.9816657794083277,0.8729481366523255,centralised
GC/2099,2,middle,0,y,bu,0.21576719843512926,0.9592669120872509,0.865742288807124,centralised
GC/2099,2,middle,0,y,mint_shrinkage,0.21565826264144147,0.9587826007406489,0.8525596556663811,centralised
GC/2099,2,middle,0,y,mint_var,0.2164094740401068,0.9621223680637117,0.8608444405279817,centralised
GC/2099,2,middle,0,y,mint_ols,0.21732814160415492,0.966206619070308,0.8524643422282129,centralised
GC/2099,2,middle,0,y,wls_structure,0.21621873007519574,0.9612743504987317,0.8584305121933499,centralised
GC/2099,2,middle,0,y,naive,0.2384337899543379,1.0600390007637024,0.9783555222097513,centralised
GC/2100,2,middle,0,y,base,0.475156995223275,1.103293855299484,1.05205767912904,centralised
GC/2100,2,middle,0,y,bu,0.46619706352737195,1.0824892840033216,1.039330867781809,centralised
GC/2100,2,middle,0,y,mint_shrinkage,0.46246459641690213,1.073822657878721,1.0175317503858248,centralised
GC/2100,2,middle,0,y,mint_var,0.4643159399135589,1.0781213968732932,1.0285347206912043,centralised
GC/2100,2,middle,0,y,mint_ols,0.4707546795075849,1.093071869877746,1.0354442053914157,centralised
GC/2100,2,middle,0,y,wls_structure,0.46406085108322404,1.0775290917154332,1.025489252218896,centralised
GC/2100,2,middle,0,y,naive,0.5542768264840183,1.2870066587304672,1.2464621769625497,centralised
GC/2111,2,middle,0,y,base,0.1724564585975866,1.4053932979826047,1.261801446365473,centralised
GC/2111,2,middle,0,y,bu,0.1724564585975866,1.4053932979826047,1.261801446365473,centralised
GC/2111,2,middle,0,y,mint_shrinkage,0.17276061253846067,1.4078719288992747,1.2560111283953193,centralised
GC/2111,2,middle,0,y,mint_var,0.17243631171408788,1.405229115699873,1.260854578085917,centralised
GC/2111,2,middle,0,y,mint_ols,0.17421908578684725,1.4197574131846287,1.2591283825502744,centralised
GC/2111,2,middle,0,y,wls_structure,0.17244551999115001,1.4053041563853559,1.2597958824578397,centralised
GC/2111,2,middle,0,y,naive,0.1657759703196347,1.3509522319336214,1.3634722379766933,centralised
GC/2119,2,middle,0,y,base,0.14787298232381602,1.4337425203427487,1.1656080181775712,centralised
GC/2119,2,middle,0,y,bu,0.14787298232381602,1.4337425203427487,1.1656080181775712,centralised
GC/2119,2,middle,0,y,mint_shrinkage,0.14956820059530368,1.4501789678864347,1.1671188539546926,centralised
GC/2119,2,middle,0,y,mint_var,0.14808059923996986,1.4357555263425896,1.165454582884418,centralised
